#OTU ID	S4MRS3D7.MID108-108.P1.Dec16	S4MRSDd2.MID110-110.P1.Dec16	S4MRS3D7.MID108-108.P2.Dec16	S4MRSDd2.MID110-110.P2.Dec16	S4MRSDd2.MID110-110.P3.Dec16	S4MRS3D7.MID108-108.P3.Dec16
M00566:113:000000000-AY2J2:1:1103:11283:18556	1	0	1	0	0	1
M00566:114:000000000-AWM6N:1:2115:16018:9002	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1104:23754:13730	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:2118:9784:11779	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1105:4859:6597	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1112:13901:7653	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:2103:16243:9590	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:2105:7653:5446	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:2105:18468:11657	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1105:13642:22816	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:2117:14229:4719	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1103:15226:20497	1	0	1	0	0	1
M00566:114:000000000-AWM6N:1:1118:18471:22110	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1108:11432:4453	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:2103:24426:12512	1	1	1	1	1	1
M00566:113:000000000-AY2J2:1:2108:14711:15355	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1108:13466:11563	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:2104:12143:8183	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1116:12920:11604	1	0	1	0	0	1
M00566:114:000000000-AWM6N:1:1103:7772:4547	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1111:6689:18189	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1117:19293:17204	1	0	1	0	0	1
M00566:114:000000000-AWM6N:1:1110:16882:6289	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:2114:8246:9470	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1103:17400:13107	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:2115:14264:13611	1	0	1	0	0	1
M00566:114:000000000-AWM6N:1:1117:18389:4710	1	0	1	0	0	1
M00566:114:000000000-AWM6N:1:1112:12662:17121	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:2106:18453:6405	1	0	1	0	0	1
M00566:114:000000000-AWM6N:1:1106:23383:12650	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1102:15039:18088	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:2114:16978:14589	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1111:6990:4297	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1107:8923:11707	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1104:21758:13309	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:2113:10635:20598	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1103:15673:18214	1	0	1	0	0	1
M00566:114:000000000-AWM6N:1:1103:13937:4521	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:2102:9037:5509	1	0	1	0	0	1
M00566:114:000000000-AWM6N:1:1104:21312:19177	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1113:16618:12205	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:2103:10291:18573	1	0	1	0	0	1
M00566:114:000000000-AWM6N:1:2113:17593:13972	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:2117:24699:13824	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:2110:11415:9905	1	0	1	0	0	1
M00566:114:000000000-AWM6N:1:1105:16092:17844	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1109:23439:3793	1	0	1	0	0	1
M00566:114:000000000-AWM6N:1:1103:12592:11163	1	0	0	0	0	1
M00566:114:000000000-AWM6N:1:1102:21526:5991	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:2108:19818:14627	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1101:6751:14900	1	0	1	0	0	1
M00566:113:000000000-AY2J2:1:1118:20990:11892	0	1	0	1	1	0
M00566:113:000000000-AY2J2:1:1103:21171:15500	0	1	0	1	1	0
M00566:113:000000000-AY2J2:1:2106:12913:18441	0	1	0	1	1	0
M00566:113:000000000-AY2J2:1:1108:17949:3259	0	1	0	1	1	0
