"DBLa_type","Ups","S4MRS3D7.MID108-108.P1.Dec16","S4MRSDd2.MID110-110.P1.Dec16","S4MRS3D7.MID108-108.P2.Dec16","S4MRSDd2.MID110-110.P2.Dec16","S4MRSDd2.MID110-110.P3.Dec16","S4MRS3D7.MID108-108.P3.Dec16"
"1","M00566:113:000000000-AY2J2:1:1103:11283:18556","non-upsA",1,0,1,0,0,1
"2","M00566:114:000000000-AWM6N:1:2115:16018:9002","non-upsA",1,0,1,0,0,1
"3","M00566:113:000000000-AY2J2:1:1104:23754:13730","upsA",1,0,1,0,0,1
"4","M00566:113:000000000-AY2J2:1:2118:9784:11779","non-upsA",1,0,1,0,0,1
"5","M00566:113:000000000-AY2J2:1:1105:4859:6597","upsA",1,0,1,0,0,1
"6","M00566:113:000000000-AY2J2:1:1112:13901:7653","upsA",1,0,1,0,0,1
"7","M00566:113:000000000-AY2J2:1:2103:16243:9590","upsA",1,0,1,0,0,1
"8","M00566:113:000000000-AY2J2:1:2105:7653:5446","non-upsA",1,0,1,0,0,1
"9","M00566:113:000000000-AY2J2:1:2105:18468:11657","non-upsA",1,0,1,0,0,1
"10","M00566:113:000000000-AY2J2:1:1105:13642:22816","non-upsA",1,0,1,0,0,1
"11","M00566:113:000000000-AY2J2:1:2117:14229:4719","non-upsA",1,0,1,0,0,1
"12","M00566:113:000000000-AY2J2:1:1103:15226:20497","non-upsA",1,0,1,0,0,1
"13","M00566:114:000000000-AWM6N:1:1118:18471:22110","non-upsA",1,0,1,0,0,1
"14","M00566:113:000000000-AY2J2:1:1108:11432:4453","non-upsA",1,0,1,0,0,1
"15","M00566:113:000000000-AY2J2:1:2103:24426:12512","non-upsA",1,1,1,1,1,1
"16","M00566:113:000000000-AY2J2:1:2108:14711:15355","non-upsA",1,0,1,0,0,1
"17","M00566:113:000000000-AY2J2:1:1108:13466:11563","non-upsA",1,0,1,0,0,1
"18","M00566:113:000000000-AY2J2:1:2104:12143:8183","non-upsA",1,0,1,0,0,1
"19","M00566:113:000000000-AY2J2:1:1116:12920:11604","non-upsA",1,0,1,0,0,1
"20","M00566:114:000000000-AWM6N:1:1103:7772:4547","non-upsA",1,0,1,0,0,1
"21","M00566:113:000000000-AY2J2:1:1111:6689:18189","non-upsA",1,0,1,0,0,1
"22","M00566:113:000000000-AY2J2:1:1117:19293:17204","non-upsA",1,0,1,0,0,1
"23","M00566:114:000000000-AWM6N:1:1110:16882:6289","non-upsA",1,0,1,0,0,1
"24","M00566:113:000000000-AY2J2:1:2114:8246:9470","non-upsA",1,0,1,0,0,1
"25","M00566:113:000000000-AY2J2:1:1103:17400:13107","non-upsA",1,0,1,0,0,1
"26","M00566:113:000000000-AY2J2:1:2115:14264:13611","upsA",1,0,1,0,0,1
"27","M00566:114:000000000-AWM6N:1:1117:18389:4710","non-upsA",1,0,1,0,0,1
"28","M00566:114:000000000-AWM6N:1:1112:12662:17121","non-upsA",1,0,1,0,0,1
"29","M00566:113:000000000-AY2J2:1:2106:18453:6405","non-upsA",1,0,1,0,0,1
"30","M00566:114:000000000-AWM6N:1:1106:23383:12650","non-upsA",1,0,1,0,0,1
"31","M00566:113:000000000-AY2J2:1:1102:15039:18088","non-upsA",1,0,1,0,0,1
"32","M00566:113:000000000-AY2J2:1:2114:16978:14589","non-upsA",1,0,1,0,0,1
"33","M00566:113:000000000-AY2J2:1:1111:6990:4297","non-upsA",1,0,1,0,0,1
"34","M00566:113:000000000-AY2J2:1:1107:8923:11707","non-upsA",1,0,1,0,0,1
"35","M00566:113:000000000-AY2J2:1:1104:21758:13309","non-upsA",1,0,1,0,0,1
"36","M00566:113:000000000-AY2J2:1:2113:10635:20598","non-upsA",1,0,1,0,0,1
"37","M00566:113:000000000-AY2J2:1:1103:15673:18214","non-upsA",1,0,1,0,0,1
"38","M00566:114:000000000-AWM6N:1:1103:13937:4521","non-upsA",1,0,1,0,0,1
"39","M00566:113:000000000-AY2J2:1:2102:9037:5509","non-upsA",1,0,1,0,0,1
"40","M00566:114:000000000-AWM6N:1:1104:21312:19177","non-upsA",1,0,1,0,0,1
"41","M00566:113:000000000-AY2J2:1:1113:16618:12205","non-upsA",1,0,1,0,0,1
"42","M00566:113:000000000-AY2J2:1:2103:10291:18573","non-upsA",1,0,1,0,0,1
"43","M00566:114:000000000-AWM6N:1:2113:17593:13972","non-upsA",1,0,1,0,0,1
"44","M00566:113:000000000-AY2J2:1:2117:24699:13824","non-upsA",1,0,1,0,0,1
"45","M00566:113:000000000-AY2J2:1:2110:11415:9905","non-upsA",1,0,1,0,0,1
"46","M00566:114:000000000-AWM6N:1:1105:16092:17844","non-upsA",1,0,1,0,0,1
"47","M00566:113:000000000-AY2J2:1:1109:23439:3793","upsA",1,0,1,0,0,1
"48","M00566:114:000000000-AWM6N:1:1103:12592:11163","non-upsA",1,0,0,0,0,1
"49","M00566:114:000000000-AWM6N:1:1102:21526:5991","non-upsA",1,0,1,0,0,1
"50","M00566:113:000000000-AY2J2:1:2108:19818:14627","non-upsA",1,0,1,0,0,1
"51","M00566:113:000000000-AY2J2:1:1101:6751:14900","non-upsA",1,0,1,0,0,1
"52","M00566:113:000000000-AY2J2:1:1118:20990:11892","non-upsA",0,1,0,1,1,0
"53","M00566:113:000000000-AY2J2:1:1103:21171:15500","non-upsA",0,1,0,1,1,0
"54","M00566:113:000000000-AY2J2:1:2106:12913:18441","non-upsA",0,1,0,1,1,0
"55","M00566:113:000000000-AY2J2:1:1108:17949:3259","upsA",0,1,0,1,1,0
"56","M00566:113:000000000-AY2J2:1:2113:11003:11012","upsA",0,1,0,1,1,0
"57","M00566:114:000000000-AWM6N:1:2107:9144:10271","non-upsA",0,1,0,1,1,0
"58","M00566:113:000000000-AY2J2:1:2103:23360:12184","upsA",0,1,0,1,1,0
"59","M00566:114:000000000-AWM6N:1:2107:15679:23025","non-upsA",0,1,0,1,1,0
"60","M00566:113:000000000-AY2J2:1:1102:23301:10179","non-upsA",0,1,0,1,1,0
"61","M00566:113:000000000-AY2J2:1:2105:8110:17900","non-upsA",0,1,0,1,1,0
"62","M00566:113:000000000-AY2J2:1:1108:9893:19299","upsA",0,1,0,1,1,0
"63","M00566:114:000000000-AWM6N:1:1113:21536:20995","non-upsA",0,1,0,1,1,0
"64","M00566:114:000000000-AWM6N:1:1109:12857:20578","non-upsA",0,1,0,1,1,0
"65","M00566:113:000000000-AY2J2:1:1113:24130:3816","non-upsA",0,1,0,1,1,0
"66","M00566:113:000000000-AY2J2:1:2109:7280:18768","non-upsA",0,1,0,1,1,0
"67","M00566:113:000000000-AY2J2:1:2102:15849:2565","non-upsA",0,1,0,1,1,0
"68","M00566:113:000000000-AY2J2:1:2105:7005:12995","non-upsA",0,1,0,1,1,0
"69","M00566:113:000000000-AY2J2:1:1108:27485:14100","non-upsA",0,1,0,1,1,0
"70","M00566:113:000000000-AY2J2:1:1105:23522:12598","non-upsA",0,1,0,1,1,0
"71","M00566:114:000000000-AWM6N:1:1107:25135:10101","non-upsA",0,1,0,1,1,0
